Time,Molecular Area,Pressure 
104.102,95.396042,1.280663
104.3,95.338256,1.285269
104.402,95.299733,1.299089
104.502,95.299733,1.299089
104.702,95.203423,1.322123
104.9,95.184162,1.331336
105,95.107114,1.345156
105.101,95.107114,1.345156
105.3,95.068591,1.36819
105.4,95.068591,1.36819
105.5,94.991543,1.386617
105.601,94.933758,1.39583
105.8,94.875972,1.400437
105.903,94.895234,1.414257
106.1,94.818187,1.414257
106.204,94.779663,1.428077
106.4,94.702616,1.45111
106.501,94.664092,1.460324
106.602,94.664092,1.460324
106.801,94.567783,1.483357
106.901,94.567783,1.483357
107.101,94.471474,1.506391
107.3,94.452212,1.520211
107.401,94.394426,1.529424
107.502,94.394426,1.529424
107.701,94.278855,1.543244
107.801,94.278855,1.543244
108.002,94.22107,1.570885
108.202,94.163284,1.580098
108.401,94.144022,1.593918
108.604,94.047713,1.616952
108.8,94.028451,1.635379
108.904,93.951404,1.649199
109.1,93.951404,1.653805
109.201,93.855095,1.653805
109.4,93.835833,1.672232
109.504,93.816571,1.690659
109.7,93.739524,1.704479
109.803,93.701,1.713692
110,93.623953,1.727513
110.101,93.662477,1.736726
110.201,93.662477,1.736726
110.401,93.527644,1.764366
110.6,93.48912,1.764366
110.701,93.431335,1.782793
110.9,93.373549,1.782793
111.001,93.335025,1.810433
111.101,93.335025,1.810433
111.301,93.238716,1.824253
111.501,93.200193,1.84268
111.606,93.161669,1.851893
111.707,93.161669,1.851893
111.901,93.084622,1.879534
112.101,93.007574,1.888747
112.205,93.026836,1.893354
112.4,92.969051,1.920994
112.501,92.911265,1.920994
112.601,92.911265,1.920994
112.805,92.814956,1.944027
113.001,92.776432,1.971668
113.102,92.699385,1.976274
113.3,92.718647,1.990094
113.402,92.603076,2.008521
113.502,92.603076,2.008521
113.702,92.487505,2.026948
113.9,92.506767,2.026948
114.002,92.448981,2.045375
114.102,92.448981,2.045375
114.302,92.33341,2.068408
114.5,92.294886,2.073015
114.602,92.294886,2.091442
114.8,92.217839,2.100655
114.905,92.179315,2.109869
115.005,92.179315,2.109869
115.205,92.083006,2.128295
115.4,92.005959,2.137509
115.505,91.986697,2.146722
115.7,91.928912,2.146722
115.805,91.890388,2.151329
116,91.871126,2.174362
116.102,91.794079,2.174362
116.3,91.774817,2.183576
116.402,91.678508,2.197396
116.502,91.678508,2.197396
116.702,91.639984,2.206609
116.901,91.562937,2.225036
117.002,91.562937,2.229643
117.2,91.524413,2.229643
117.302,91.447366,2.23425
117.5,91.428104,2.243463
117.603,91.370318,2.24807
117.802,91.370318,2.24807
117.903,91.312533,2.257283
118.1,91.254747,2.266496
118.206,91.1777,2.26189
118.306,91.1777,2.26189
118.508,91.100653,2.27571
118.701,91.062129,2.27571
118.806,91.004343,2.28953
119,90.946558,2.28953
119.103,90.927296,2.28953
119.3,90.830987,2.298743
119.406,90.850249,2.307957
119.6,90.75394,2.312563
119.703,90.734678,2.312563
119.803,90.734678,2.312563
120.003,90.638369,2.321777
120.201,90.599845,2.326383
120.303,90.542059,2.326383
120.501,90.542059,2.335597
120.603,90.465012,2.340204
120.703,90.465012,2.340204
120.903,90.407227,2.34481
121.101,90.368703,2.34481
121.203,90.310917,2.35863
121.4,90.272394,2.35863
121.503,90.23387,2.35863
121.604,90.23387,2.35863
121.803,90.118299,2.367844
